Subject,Start Date,Start Time,End Date,End Time,Description,Location
技術と倫理 C (1001),6/11/2019,13:30,6/11/2019,15:00,科学技術倫理序論,L2
技術と倫理 C (1001),6/18/2019,13:30,6/18/2019,15:00,モラル問題と倫理,L2
技術と倫理 C (1001),6/25/2019,13:30,6/25/2019,15:00,法規と倫理,L2
技術と倫理 C (1001),7/2/2019,13:30,7/2/2019,15:00,品質問題・安全問題と工学倫理,L2
技術と倫理 C (1001),7/16/2019,13:30,7/16/2019,15:00,環境・資源問題と工学倫理,L2
技術と倫理 C (1001),7/23/2019,13:30,7/23/2019,15:00,バイオテクノロジーおよび情報技術と工学倫理,L2
技術と倫理 C (1001),7/30/2019,13:30,7/30/2019,15:00,リスク問題と工学倫理,L2
技術と倫理 C (1001),8/6/2019,13:30,8/6/2019,15:00,望まれる科学技術者,L2
科学哲学 (1002),7/2/2019,15:10,7/2/2019,16:40,"
					科学の境界を考える				",L1
科学哲学 (1002),7/2/2019,16:50,7/2/2019,18:20,"
					科学の歴史的変化を考える				",L1
科学哲学 (1002),7/16/2019,15:10,7/16/2019,16:40,"
					科学によって人間観・世界観はどう変わるか				",L1
科学哲学 (1002),7/16/2019,16:50,7/16/2019,18:20,"
					科学技術と社会の関係を考える				",L1
科学哲学 (1002),7/23/2019,15:10,7/23/2019,16:40,"
					科学技術と倫理				",L1
科学哲学 (1002),7/23/2019,16:50,7/23/2019,18:20,"
					科学技術と政策				",L1
科学哲学 (1002),7/30/2019,15:10,7/30/2019,16:40,"
					参加型ワークショップ(1)				",L1
科学哲学 (1002),7/30/2019,16:50,7/30/2019,18:20,"
					参加型ワークショップ(2)				",L1
プロフェッショナルコミュニケーションⅠ B (1010),6/5/2019,13:30,6/5/2019,15:00,Introductions and course overview,L3
プロフェッショナルコミュニケーションⅠ B (1010),6/12/2019,13:30,6/12/2019,15:00,Communication 1,L3
プロフェッショナルコミュニケーションⅠ B (1010),6/19/2019,13:30,6/19/2019,15:00,Communication 2,L3
プロフェッショナルコミュニケーションⅠ B (1010),6/26/2019,13:30,6/26/2019,15:00,Communication 3,L3
プロフェッショナルコミュニケーションⅠ B (1010),7/3/2019,13:30,7/3/2019,15:00,Communication 4,L3
プロフェッショナルコミュニケーションⅠ B (1010),7/17/2019,13:30,7/17/2019,15:00,Communication 5,L3
プロフェッショナルコミュニケーションⅠ B (1010),7/24/2019,13:30,7/24/2019,15:00,Communication 6,L3
プロフェッショナルコミュニケーションⅠ B (1010),7/31/2019,13:30,7/31/2019,15:00,Review,L3
情報理工学序論 A(春) (2001),4/9/2019,9:20,4/9/2019,10:50,OSの役割と構成（安本、荒川担当）,ミレニアムホール
情報理工学序論 A(春) (2001),4/11/2019,9:20,4/11/2019,10:50,ネットワークの仕組み（安本、荒川担当）,ミレニアムホール
情報理工学序論 A(春) (2001),4/15/2019,9:20,4/15/2019,10:50,コンピュータのトレンド、基本構造とプログラミング（中島担当）,ミレニアムホール
情報理工学序論 A(春) (2001),4/17/2019,9:20,4/17/2019,10:50,メモリ階層と性能指標のトレンド（中島担当）,ミレニアムホール
情報理工学序論 A(春) (2001),4/19/2019,9:20,4/19/2019,10:50,アルゴリズムの計算量と探索アルゴリズム（大下担当）,ミレニアムホール
情報理工学序論 A(春) (2001),4/23/2019,9:20,4/23/2019,10:50,探索木とソートアルゴリズム（井上担当）,ミレニアムホール
情報理工学序論 A(春) (2001),4/25/2019,9:20,4/25/2019,10:50,文字列検索アルゴリズム,ミレニアムホール
情報理工学序論 A(春) (2001),5/7/2019,9:20,5/7/2019,10:50,動的計画法とPythonプログラム,ミレニアムホール
知能社会創成科学序論 A(春) (2006),4/9/2019,13:30,4/9/2019,15:00,知能社会を創成する有機フレキシブルデバイス(中村担当）,ミレニアムホール
知能社会創成科学序論 A(春) (2006),4/11/2019,13:30,4/11/2019,15:00,知能社会創成を実現するためのディスプレイ（浦岡担当）,ミレニアムホール
知能社会創成科学序論 A(春) (2006),4/15/2019,13:30,4/15/2019,15:00,知能社会創成を実現するための量子機能と有機フォトニクスデバイス（柳担当）,ミレニアムホール
知能社会創成科学序論 A(春) (2006),4/17/2019,13:30,4/17/2019,15:00,,ミレニアムホール
知能社会創成科学序論 A(春) (2006),4/19/2019,13:30,4/19/2019,15:00,知能社会創成を実現するための光無線融合通信技術（岡田担当）,ミレニアムホール
知能社会創成科学序論 A(春) (2006),4/23/2019,13:30,4/23/2019,15:00,知能社会創成を実現するための情報セキュリティ工学（林担当）,ミレニアムホール
知能社会創成科学序論 A(春) (2006),4/25/2019,13:30,4/25/2019,15:00,知能社会創成を実現するためのシステム制御技術（杉本担当）,ミレニアムホール
知能社会創成科学序論 A(春) (2006),5/7/2019,13:30,5/7/2019,15:00,知能社会創成を実現するためのユビキタスコンピューティング（安本担当）,ミレニアムホール
データサイエンス序論 A(春) (2007),4/10/2019,13:30,4/10/2019,15:00,,ミレニアムホール
データサイエンス序論 A(春) (2007),4/12/2019,13:30,4/12/2019,15:00,情報学分野におけるデータサイエンス(小野）,ミレニアムホール
データサイエンス序論 A(春) (2007),4/16/2019,13:30,4/16/2019,15:00,バイオサイエンス分野におけるデータサイエンスI（森）,ミレニアムホール
データサイエンス序論 A(春) (2007),4/18/2019,13:30,4/18/2019,15:00,バイオサイエンス分野におけるデータサイエンスⅡ（作村、国田）,ミレニアムホール
